GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.payMyBuddy,Application,5,3,0,0,2,1,1,1,1,1
demo,com.payMyBuddy.controller,CustomErrorController,2,3,0,0,1,1,1,1,1,1
demo,com.payMyBuddy.controller,AuthController,0,81,0,8,0,26,0,8,0,4
demo,com.payMyBuddy.controller,ProfileController,0,68,0,2,0,18,0,4,0,3
demo,com.payMyBuddy.controller,TransactionController,0,115,0,2,0,28,0,4,0,3
demo,com.payMyBuddy.controller,DashboardController,0,39,0,0,0,11,0,2,0,2
demo,com.payMyBuddy.controller,ContactController,0,84,0,2,0,22,0,5,0,4
demo,com.payMyBuddy.controller,AccountController,0,141,0,4,0,36,0,8,0,6
demo,com.payMyBuddy.service,AccountService,0,153,0,2,0,42,0,9,0,8
demo,com.payMyBuddy.service,UserService,10,170,0,4,0,42,2,12,2,10
demo,com.payMyBuddy.service,TransactionService,0,119,0,8,0,38,0,6,0,2
demo,com.payMyBuddy.security,CustomUserDetails,36,0,0,0,12,0,7,0,7,0
demo,com.payMyBuddy.security,SecurityUtils,25,3,6,0,6,1,5,1,2,1
demo,com.payMyBuddy.security,CustomUserDetailsService,18,6,0,0,3,3,2,1,2,1
demo,com.payMyBuddy.security,SecurityConfig,0,95,0,0,0,24,0,8,0,8
